year_week,order_year,order_week,total_revenue,total_orders,total_customers,new_customers,returning_customers,avg_order_value,total_units_sold,total_sessions,total_conversions,session_to_order_rate,prev_week_revenue,prev_week_customers,revenue_growth_rate,customer_retention_rate
2015-W33,2015,33,2625.13,1,1,1,0,2625.13,3,1,0.0,100.0,,,,
2018-W15,2018,15,1071.24,1,1,1,0,1071.24,3,0,,,2625.13,1.0,-59.19287806699097,0.0
2018-W24,2018,24,1998.58,1,1,1,0,1998.58,6,2,0.0,50.0,1071.24,1.0,86.56696911989843,0.0
2018-W39,2018,39,462.32,1,1,1,0,462.32,5,3,0.0,33.33333333333333,1998.58,1.0,-76.86757597894506,0.0
2018-W40,2018,40,6047.49,1,1,1,0,6047.49,13,1,0.0,100.0,462.32,1.0,1208.0744938570688,0.0
2018-W42,2018,42,891.73,1,1,1,0,891.73,3,2,0.0,50.0,6047.49,1.0,-85.25454362057647,0.0
2018-W47,2018,47,4986.41,1,1,1,0,4986.41,5,2,0.0,50.0,891.73,1.0,459.183833671627,0.0
2019-W16,2019,16,1036.63,1,1,1,0,1036.63,8,3,0.0,33.33333333333333,4986.41,1.0,-79.21089521318945,0.0
2019-W26,2019,26,1371.15,1,1,1,0,1371.15,6,6,0.0,16.666666666666664,1036.63,1.0,32.26995167031631,0.0
2019-W34,2019,34,1169.6,1,1,0,1,1169.6,2,2,0.0,50.0,1371.15,1.0,-14.699339970098105,100.0
2019-W48,2019,48,149.72,1,1,1,0,149.72,2,2,0.0,50.0,1169.6,1.0,-87.19904240766073,0.0
2019-W52,2019,52,1134.98,1,1,1,0,1134.98,5,2,0.0,50.0,149.72,1.0,658.068394336094,0.0
2020-W38,2020,38,1327.04,1,1,1,0,1327.04,3,2,0.0,50.0,1134.98,1.0,16.921884086063184,0.0
2020-W39,2020,39,213.89,1,1,1,0,213.89,1,4,0.0,25.0,1327.04,1.0,-83.88217386062215,0.0
2020-W42,2020,42,867.48,1,1,1,0,867.48,2,6,0.0,16.666666666666664,213.89,1.0,305.57295806255553,0.0
2020-W48,2020,48,4160.83,1,1,1,0,4160.83,1,3,0.0,33.33333333333333,867.48,1.0,379.64564024530824,0.0
2021-W03,2021,3,2166.71,1,1,1,0,2166.71,4,2,0.0,50.0,4160.83,1.0,-47.92601476147787,0.0
2021-W04,2021,4,3078.0,1,1,1,0,3078.0,4,2,0.0,50.0,2166.71,1.0,42.05869728759271,0.0
2021-W18,2021,18,3321.87,1,1,1,0,3321.87,6,4,0.0,25.0,3078.0,1.0,7.923001949317736,0.0
2021-W25,2021,25,589.03,1,1,1,0,589.03,5,4,2.0,25.0,3321.87,1.0,-82.2681200649032,0.0
2021-W33,2021,33,1184.3,1,1,1,0,1184.3,4,4,1.0,25.0,589.03,1.0,101.05936879276098,0.0
2021-W34,2021,34,946.24,1,1,0,1,946.24,7,3,0.0,33.33333333333333,1184.3,1.0,-20.101325677615463,100.0
2021-W35,2021,35,1097.44,1,1,1,0,1097.44,6,3,0.0,33.33333333333333,946.24,1.0,15.979032803517082,0.0
2021-W39,2021,39,538.49,1,1,1,0,538.49,3,4,0.0,25.0,1097.44,1.0,-50.932169412450804,0.0
2021-W47,2021,47,3735.13,2,1,1,1,1867.565,14,2,0.0,100.0,538.49,1.0,593.630336682204,100.0
2021-W48,2021,48,1770.98,1,1,1,0,1770.98,8,1,1.0,100.0,3735.13,1.0,-52.58585377215786,0.0
2022-W03,2022,3,153.68,1,1,1,0,153.68,1,6,0.0,16.666666666666664,1770.98,1.0,-91.32231871619103,0.0
2022-W07,2022,7,5249.99,3,2,3,0,1749.9966666666667,14,4,1.0,75.0,153.68,1.0,3316.182977615825,0.0
2022-W12,2022,12,1286.83,1,1,1,0,1286.83,5,5,0.0,20.0,5249.99,2.0,-75.4889056931537,0.0
2022-W16,2022,16,2905.32,1,1,1,0,2905.32,2,2,0.0,50.0,1286.83,1.0,125.77341218342752,0.0
2022-W20,2022,20,813.36,1,1,1,0,813.36,2,10,0.0,10.0,2905.32,1.0,-72.00446078228904,0.0
2022-W27,2022,27,1353.37,1,1,1,0,1353.37,0,3,0.0,33.33333333333333,813.36,1.0,66.39249532802202,0.0
2022-W28,2022,28,1872.61,1,1,1,0,1872.61,4,2,0.0,50.0,1353.37,1.0,38.36644819967932,0.0
2022-W31,2022,31,1435.18,1,1,1,0,1435.18,4,2,0.0,50.0,1872.61,1.0,-23.359375417198446,0.0
2022-W48,2022,48,1635.94,1,1,1,0,1635.94,10,2,0.0,50.0,1435.18,1.0,13.98848924873535,0.0
2022-W52,2022,52,823.07,1,1,1,0,823.07,1,5,0.0,20.0,1635.94,1.0,-49.68825262540191,0.0
2023-W02,2023,2,507.27,1,1,1,0,507.27,2,8,1.0,12.5,823.07,1.0,-38.368547025161895,0.0
2023-W09,2023,9,1285.72,1,1,1,0,1285.72,8,5,0.0,20.0,507.27,1.0,153.45871035148937,0.0
2023-W11,2023,11,3045.51,1,1,1,0,3045.51,5,8,1.0,12.5,1285.72,1.0,136.8719472357901,0.0
2023-W12,2023,12,506.77,1,1,1,0,506.77,1,5,0.0,20.0,3045.51,1.0,-83.36009404007868,0.0
2023-W13,2023,13,530.35,1,1,1,0,530.35,9,6,0.0,16.666666666666664,506.77,1.0,4.652998401641779,0.0
2023-W26,2023,26,4872.43,2,2,2,0,2436.215,15,4,1.0,50.0,530.35,1.0,818.7197133968134,0.0
2023-W34,2023,34,273.72,1,1,1,0,273.72,1,8,0.0,12.5,4872.43,2.0,-94.38226921679737,0.0
2023-W36,2023,36,3418.58,2,2,2,0,1709.29,12,5,1.0,40.0,273.72,1.0,1148.933216425544,0.0
2023-W42,2023,42,722.59,1,1,1,0,722.59,2,7,1.0,14.285714285714285,3418.58,2.0,-78.86286118797862,0.0
2023-W43,2023,43,738.02,1,1,1,0,738.02,3,7,0.0,14.285714285714285,722.59,1.0,2.135374140245499,0.0
2023-W46,2023,46,2281.79,2,1,2,0,1140.895,19,4,0.0,50.0,738.02,1.0,209.177258068887,0.0
2023-W52,2023,52,353.59,1,1,1,0,353.59,3,6,1.0,16.666666666666664,2281.79,1.0,-84.5038325174534,0.0
2024-W03,2024,3,1344.16,1,1,1,0,1344.16,3,7,0.0,14.285714285714285,353.59,1.0,280.1464973556945,0.0
2024-W13,2024,13,3714.58,2,2,2,0,1857.29,13,5,1.0,40.0,1344.16,1.0,176.34954172122366,0.0
2024-W18,2024,18,2574.5699999999997,2,1,1,1,1287.2849999999999,18,3,0.0,66.66666666666666,3714.58,2.0,-30.69014531925548,50.0
2024-W25,2024,25,4519.02,2,2,1,1,2259.51,15,4,0.0,50.0,2574.5699999999997,1.0,75.52523333993642,100.0
2024-W29,2024,29,1045.29,1,1,1,0,1045.29,6,7,3.0,14.285714285714285,4519.02,2.0,-76.8690999375971,0.0
2024-W33,2024,33,2270.66,1,1,1,0,2270.66,5,3,0.0,33.33333333333333,1045.29,1.0,117.22775497708768,0.0
2024-W34,2024,34,229.82,1,1,1,0,229.82,2,6,0.0,16.666666666666664,2270.66,1.0,-89.87871367796147,0.0
2024-W36,2024,36,370.67,1,1,1,0,370.67,3,6,0.0,16.666666666666664,229.82,1.0,61.2870942476721,0.0
2024-W39,2024,39,4541.21,1,1,1,0,4541.21,3,10,2.0,10.0,370.67,1.0,1125.1355653276498,0.0
2024-W40,2024,40,8419.53,4,4,3,1,2104.8825,15,10,2.0,40.0,4541.21,1.0,85.40278912448446,100.0
2024-W43,2024,43,1126.05,1,1,1,0,1126.05,8,7,1.0,14.285714285714285,8419.53,4.0,-86.62573801625506,0.0
2024-W44,2024,44,2605.78,1,1,1,0,2605.78,6,9,1.0,11.11111111111111,1126.05,1.0,131.4089072421296,0.0
2024-W45,2024,45,681.62,1,1,1,0,681.62,3,5,1.0,20.0,2605.78,1.0,-73.84199740576719,0.0
2024-W46,2024,46,4951.66,3,3,2,1,1650.5533333333333,8,6,0.0,50.0,681.62,1.0,626.4546228103636,100.0
2024-W49,2024,49,2761.6099999999997,3,3,3,0,920.5366666666665,11,13,1.0,23.076923076923077,4951.66,3.0,-44.22860212534786,0.0
2024-W50,2024,50,10236.8,3,3,3,0,3412.2666666666664,12,11,3.0,27.27272727272727,2761.6099999999997,3.0,270.68231937167087,0.0
2024-W51,2024,51,3357.81,1,1,1,0,3357.81,4,4,0.0,25.0,10236.8,3.0,-67.19863629259144,0.0
2024-W52,2024,52,165.05,1,1,1,0,165.05,2,7,0.0,14.285714285714285,3357.81,1.0,-95.08459382752447,0.0
2025-W05,2025,5,4276.17,2,2,2,0,2138.085,12,12,1.0,16.666666666666664,165.05,1.0,2490.83308088458,0.0
2025-W06,2025,6,228.33,1,1,1,0,228.33,1,13,0.0,7.6923076923076925,4276.17,2.0,-94.66040873024225,0.0
2025-W09,2025,9,721.16,1,1,1,0,721.16,5,8,1.0,12.5,228.33,1.0,215.84110716944767,0.0
2025-W13,2025,13,329.62,1,1,0,1,329.62,5,15,3.0,6.666666666666667,721.16,1.0,-54.29308336568861,100.0
2025-W16,2025,16,2540.72,1,1,1,0,2540.72,6,9,0.0,11.11111111111111,329.62,1.0,670.8027425520296,0.0
2025-W17,2025,17,1687.81,1,1,1,0,1687.81,6,10,0.0,10.0,2540.72,1.0,-33.56961806102207,0.0
2025-W21,2025,21,1762.13,1,1,1,0,1762.13,5,8,2.0,12.5,1687.81,1.0,4.403339238421396,0.0
2025-W23,2025,23,1219.32,1,1,1,0,1219.32,1,7,0.0,14.285714285714285,1762.13,1.0,-30.804197193169635,0.0
2025-W24,2025,24,2098.39,1,1,1,0,2098.39,4,10,0.0,10.0,1219.32,1.0,72.09510218810485,0.0
2025-W27,2025,27,387.85,1,1,1,0,387.85,2,4,2.0,25.0,2098.39,1.0,-81.51678191375292,0.0
2025-W28,2025,28,2904.73,1,1,1,0,2904.73,6,14,3.0,7.142857142857142,387.85,1.0,648.9312878690215,0.0
2025-W29,2025,29,3226.3599999999997,2,2,2,0,1613.1799999999998,9,10,1.0,20.0,2904.73,1.0,11.072629814130734,0.0
2025-W32,2025,32,2681.18,1,1,0,1,2681.18,14,11,2.0,9.090909090909092,3226.3599999999997,2.0,-16.897680358050554,50.0
2025-W36,2025,36,2789.83,2,2,2,0,1394.915,6,14,2.0,14.285714285714285,2681.18,1.0,4.0523202470554045,0.0
2025-W38,2025,38,298.32,1,1,1,0,298.32,4,12,0.0,8.333333333333332,2789.83,2.0,-89.30687532932113,0.0
2025-W40,2025,40,2531.03,2,2,2,0,1265.515,6,13,1.0,15.384615384615385,298.32,1.0,748.4278626977742,0.0
2025-W41,2025,41,2747.76,2,2,2,0,1373.88,11,16,3.0,12.5,2531.03,2.0,8.56291707328637,0.0
2025-W42,2025,42,2509.4,2,2,2,0,1254.7,12,21,1.0,9.523809523809524,2747.76,2.0,-8.674702302966784,0.0
2025-W44,2025,44,3077.45,1,1,1,0,3077.45,4,14,0.0,7.142857142857142,2509.4,2.0,22.636885311229765,0.0
2025-W45,2025,45,4710.52,1,1,1,0,4710.52,3,10,0.0,10.0,3077.45,1.0,53.06568750101548,0.0
2025-W46,2025,46,927.13,1,1,1,0,927.13,6,17,4.0,5.88235294117647,4710.52,1.0,-80.31788422509617,0.0
2025-W47,2025,47,2126.91,2,2,2,0,1063.455,4,17,2.0,11.76470588235294,927.13,1.0,129.4079578915578,0.0
2025-W49,2025,49,12838.630000000001,4,4,3,1,3209.6575000000003,35,20,2.0,20.0,2126.91,2.0,503.62826823890066,50.0
