wishlist_id,customer_id,product_id,added_date,purchased_date,removed_date,wishlist_to_purchase_time
471,74,120,2025-12-19,,2025-12-24,
463,436,411,2025-06-02,,,
148,80,487,2025-10-22,2025-11-20,,2505600.0
496,9,441,2025-03-01,,,
243,385,378,2025-03-13,2025-04-12,,2592000.0
737,325,242,2024-08-12,2024-12-25,,11664000.0
623,16,301,2025-02-11,,2025-03-23,
540,309,434,2024-08-29,,,
392,352,274,2025-05-09,,,
516,394,92,2025-10-29,,2025-11-09,
31,66,359,2025-03-15,2025-05-29,,6480000.0
137,270,408,2025-05-17,,,
451,363,312,2024-04-26,2024-06-19,,4665600.0
85,445,320,2024-08-12,,,
251,305,200,2025-07-11,,,
580,166,48,2024-03-29,2024-06-30,,8035200.0
65,219,216,2025-08-15,,,
458,90,179,2024-12-23,,,
53,423,43,2025-08-15,,,
588,32,345,2025-06-05,,,
799,28,48,2025-01-16,2025-06-14,,12873600.0
255,297,447,2025-09-22,,2025-09-28,
481,372,260,2025-10-19,2025-11-20,,2764800.0
133,19,81,2025-08-28,2025-12-05,,8553600.0
296,297,454,2025-04-14,2025-07-17,,8121600.0
472,418,409,2024-09-13,,,
78,233,165,2025-04-30,,,
513,72,417,2024-09-27,,2025-04-05,
322,352,159,2024-03-10,,,
613,308,190,2024-06-09,,,
362,454,18,2024-11-18,2025-01-24,,5788800.0
673,247,154,2025-03-26,2025-07-31,,10972800.0
633,412,318,2024-11-01,2025-04-17,,14428800.0
321,257,427,2025-05-05,2025-08-16,,8899200.0
375,348,342,2025-03-05,,,
597,126,159,2025-09-19,2025-10-08,,1641600.0
593,261,19,2025-02-12,2025-04-22,,5961600.0
155,193,194,2025-06-09,,,
683,204,320,2024-01-24,,,
108,177,434,2025-05-13,,2025-06-25,
744,425,483,2025-08-04,,,
530,196,460,2025-02-04,,2025-11-10,
368,126,169,2024-02-25,,,
642,138,126,2025-11-30,,,
34,101,103,2025-03-25,2025-05-18,,4665600.0
211,389,75,2025-08-24,,,
193,358,121,2025-03-22,,,
796,287,181,2023-12-27,2024-03-01,,5616000.0
126,145,162,2025-08-22,,,
772,196,401,2024-09-10,2025-01-06,,10195200.0
101,386,56,2025-03-13,,,
115,260,22,2025-12-22,,,
756,302,350,2025-06-06,,,
81,261,346,2025-03-07,2025-04-23,,4060800.0
385,102,454,2024-05-17,,2025-01-09,
436,390,188,2025-12-24,,,
183,48,171,2025-05-08,,2025-08-05,
28,80,272,2024-12-20,2025-04-02,,8899200.0
210,232,87,2024-11-12,,,
596,173,199,2025-07-17,,,
497,310,232,2023-12-26,,,
762,400,425,2024-09-05,2024-10-16,,3542400.0
784,119,420,2025-04-10,,,
406,340,191,2025-12-08,2025-12-21,,1123200.0
412,144,273,2024-06-06,,,
787,327,14,2025-08-08,,2025-12-14,
300,40,116,2024-03-04,,,
731,465,131,2024-07-28,2024-12-27,,13132800.0
587,138,68,2025-09-21,,,
723,288,99,2025-07-26,2025-08-25,,2592000.0
667,325,144,2025-05-07,2025-09-21,,11836800.0
688,105,260,2024-09-13,,,
76,486,159,2025-06-30,,,
501,272,293,2025-06-09,,,
626,165,140,2025-04-25,2025-07-24,,7776000.0
577,470,259,2025-10-15,,,
332,309,291,2024-11-11,2025-04-29,,14601600.0
27,334,297,2024-03-12,,,
26,58,335,2024-12-15,,,
384,438,219,2024-08-11,,2024-11-08,
743,70,103,2025-08-29,,2025-10-11,
159,476,213,2024-09-01,,2024-12-02,
192,193,63,2025-12-22,,2025-12-25,
271,92,77,2025-05-05,,,
606,232,283,2024-04-23,2024-05-02,,777600.0
44,7,335,2025-06-14,,,
253,125,129,2025-02-12,,,
103,369,496,2025-03-11,,,
460,116,226,2025-04-24,2025-07-20,,7516800.0
236,87,163,2024-04-30,,,
329,79,111,2025-11-28,2025-12-21,,1987200.0
350,5,328,2024-03-02,,,
336,453,423,2024-01-30,,,
12,260,53,2025-07-26,,2025-08-02,
223,173,85,2025-06-18,,,
738,432,397,2024-10-15,,,
602,475,394,2024-10-22,,,
548,138,232,2025-04-27,,2025-08-22,
388,185,331,2024-11-08,,2025-10-04,
417,127,415,2025-08-29,,2025-12-16,
578,216,113,2025-01-19,,2025-08-20,
663,389,500,2024-09-14,,,
409,108,104,2025-03-20,,,
91,446,35,2024-07-21,,,
707,370,392,2025-01-12,2025-06-28,,14428800.0
333,455,89,2025-08-19,2025-10-15,,4924800.0
222,223,429,2024-08-02,2024-10-31,,7776000.0
285,235,195,2024-01-22,,,
601,424,6,2025-06-17,,,
604,136,321,2025-09-23,2025-11-15,,4579200.0
727,113,115,2025-12-19,,,
372,42,387,2025-11-03,,,
330,233,496,2025-02-05,,,
22,194,185,2025-07-08,2025-12-07,,13132800.0
128,496,47,2025-09-26,2025-10-11,,1296000.0
209,286,107,2024-03-04,,,
685,432,2,2025-06-22,,,
230,407,161,2024-05-04,2024-08-10,,8467200.0
686,184,25,2024-10-31,,,
122,119,400,2025-03-22,,2025-12-04,
493,432,102,2024-04-19,,2024-11-13,
625,140,18,2025-12-15,,,
319,217,91,2024-11-11,,,
190,386,394,2024-06-23,,,
93,371,456,2025-06-22,,,
233,65,445,2025-05-17,,,
232,145,272,2024-09-29,,2025-02-02,
157,299,75,2025-11-12,,,
758,26,496,2025-05-25,,,
225,482,61,2024-07-15,,,
476,496,238,2025-09-16,,,
360,356,270,2025-04-11,2025-05-15,,2937600.0
367,334,453,2025-10-18,,,
346,93,35,2025-03-15,,,
725,435,376,2025-11-29,,,
539,465,256,2024-09-09,2024-09-19,,864000.0
246,498,177,2025-09-18,2025-10-15,,2332800.0
599,65,287,2025-10-25,,,
224,73,415,2025-09-01,,,
654,123,306,2024-09-10,,2025-07-22,
111,153,326,2025-07-23,2025-10-25,,8121600.0
519,176,409,2025-04-21,,,
47,167,306,2024-10-11,2025-03-27,,14428800.0
177,3,269,2024-10-09,,,
711,10,461,2024-01-24,,,
140,45,87,2025-08-23,,,
556,490,491,2024-01-06,,,
416,10,201,2024-02-05,2024-04-01,,4838400.0
132,437,375,2025-06-05,2025-08-03,,5097600.0
671,498,80,2024-02-17,,,
444,342,28,2025-12-20,,,
152,227,296,2025-08-17,,,
665,318,356,2025-11-20,,2025-12-14,
618,203,314,2025-12-14,,,
694,212,308,2025-07-30,,,
355,31,90,2024-04-19,2024-08-28,,11318400.0
747,413,290,2024-04-17,,,
696,285,295,2024-02-26,,,
185,70,394,2025-03-16,2025-04-06,,1814400.0
353,168,122,2025-08-12,,,
305,288,38,2025-11-14,,,
291,98,160,2024-07-18,,2024-12-12,
325,439,344,2025-08-17,,,
386,195,468,2025-04-27,,2025-08-19,
603,473,53,2025-11-17,,,
581,206,340,2025-10-28,,,
660,412,191,2024-09-09,,,
435,289,5,2023-12-28,,,
774,258,283,2025-04-03,2025-08-30,,12873600.0
748,346,108,2025-12-24,,,
473,142,447,2024-05-22,,,
146,203,134,2024-02-03,,,
704,476,458,2024-05-08,2024-08-30,,9849600.0
259,410,54,2024-10-06,,,
512,101,487,2025-11-05,,,
797,2,285,2025-02-21,,,
1,324,68,2025-08-15,2025-11-05,,7084800.0
206,64,462,2024-11-19,2025-03-24,,10800000.0
52,187,265,2025-03-22,2025-06-13,,7171200.0
363,249,482,2025-10-27,,,
770,277,204,2024-02-21,,,
297,232,251,2024-03-13,,2024-09-24,
768,87,462,2025-04-11,,2025-06-24,
777,435,467,2025-06-19,,,
212,103,188,2025-08-23,,,
715,353,104,2025-03-18,,,
674,304,258,2024-09-01,,,
631,366,176,2024-11-01,2025-02-08,,8553600.0
274,257,73,2025-07-24,,,
792,7,468,2025-06-10,,,
182,318,222,2025-08-17,,2025-10-03,
699,307,233,2024-06-13,2024-10-31,,12096000.0
689,454,435,2025-06-02,2025-10-28,,12787200.0
442,469,153,2025-01-22,,,
218,383,461,2024-08-17,,,
348,299,179,2025-12-01,,,
440,279,491,2025-08-30,2025-12-15,,9244800.0
13,198,110,2024-07-11,2024-12-10,,13132800.0
734,486,108,2025-06-30,,,
280,82,470,2024-02-23,2024-08-09,,14515200.0
6,272,322,2024-10-23,,,
86,52,64,2024-09-13,,,
16,45,408,2025-11-24,2025-12-07,,1123200.0
760,15,359,2024-02-06,2024-02-18,,1036800.0
474,223,389,2024-08-25,,,
636,124,218,2024-05-12,,,
168,65,439,2024-02-28,,2024-04-05,
205,206,218,2024-11-14,,,
572,435,153,2024-11-19,2025-02-25,,8467200.0
3,18,345,2025-08-19,,,
142,143,107,2025-03-25,,,
178,171,133,2025-06-11,2025-07-13,,2764800.0
308,49,145,2025-11-30,,,
328,412,464,2024-08-16,,,
429,428,224,2025-08-26,,,
470,193,198,2025-11-05,,,
20,55,279,2025-01-31,,2025-02-28,
164,371,106,2024-04-30,,2025-02-26,
40,260,406,2025-05-19,,,
500,243,445,2025-01-04,,2025-10-30,
169,455,257,2025-09-08,2025-12-20,,8899200.0
479,409,500,2024-02-20,,,
139,223,16,2024-02-10,2024-02-25,,1296000.0
283,156,159,2025-09-27,2025-10-07,,864000.0
359,354,500,2025-05-11,,,
692,91,316,2025-03-19,,,
295,38,115,2025-11-11,2025-11-21,,864000.0
431,425,463,2024-06-29,,,
340,359,154,2024-02-28,2024-05-31,,8035200.0
94,185,101,2024-08-05,2024-10-24,,6912000.0
250,64,206,2024-07-28,,,
377,457,317,2024-03-06,2024-08-04,,13046400.0
432,415,492,2025-09-12,2025-11-16,,5616000.0
582,401,40,2025-07-27,,,
402,341,51,2025-03-09,,,
57,412,307,2025-01-18,,,
570,107,240,2024-08-25,2024-10-11,,4060800.0
647,460,31,2025-10-20,2025-11-21,,2764800.0
306,300,462,2024-07-11,2024-10-16,,8380800.0
676,495,315,2024-04-24,,,
339,365,494,2024-11-02,,,
292,94,221,2025-04-22,,2025-06-02,
120,18,428,2025-10-21,2025-10-30,,777600.0
54,42,32,2025-09-10,2025-12-06,,7516800.0
559,486,200,2024-02-19,,,
634,258,70,2025-07-27,,,
646,43,437,2025-04-27,2025-08-23,,10195200.0
491,227,427,2024-04-20,,,
776,21,146,2024-12-17,,,
96,71,191,2024-07-01,,,
545,283,256,2025-11-12,,,
235,19,80,2025-09-13,,,
620,36,202,2025-03-16,2025-04-30,,3888000.0
732,48,127,2025-11-17,,2025-12-17,
452,428,5,2025-10-04,,,
507,486,454,2025-09-17,,,
650,299,60,2025-10-08,2025-11-20,,3715200.0
48,21,212,2024-07-22,,2025-04-08,
266,110,471,2024-09-26,2024-12-02,,5788800.0
544,471,177,2025-08-19,,,
191,328,370,2024-10-03,2025-01-13,,8812800.0
5,135,333,2025-02-25,2025-07-13,,11923200.0
163,310,104,2025-10-12,,,
268,28,121,2024-07-27,2024-12-02,,11059200.0
279,400,285,2025-09-26,,,
258,114,491,2024-04-11,,,
709,38,432,2024-04-15,2024-10-05,,14947200.0
729,357,67,2024-01-31,2024-06-24,,12528000.0
397,304,366,2024-03-04,,,
754,464,325,2025-08-13,,2025-11-05,
19,25,152,2025-02-04,2025-07-07,,13219200.0
430,250,282,2024-03-30,,,
553,176,130,2024-07-26,,,
560,222,52,2025-06-09,,2025-10-26,
92,445,478,2025-09-16,,,
419,200,121,2024-03-01,2024-04-25,,4752000.0
542,460,419,2025-12-22,2025-12-25,,259200.0
415,138,393,2025-02-16,2025-06-13,,10108800.0
780,44,327,2025-06-08,2025-12-02,,15292800.0
641,148,466,2024-08-06,2024-11-13,,8553600.0
299,53,153,2024-01-15,,,
644,237,327,2025-09-22,2025-12-24,,8035200.0
257,400,110,2025-06-19,2025-08-17,,5097600.0
579,199,366,2024-10-24,,,
227,196,449,2025-10-07,,,
64,321,115,2024-02-29,,,
117,327,269,2024-01-05,,2024-03-06,
504,221,245,2025-03-11,,,
554,325,342,2025-10-01,2025-12-12,,6220800.0
764,419,434,2024-07-08,,,
598,380,261,2025-09-09,,,
309,188,188,2025-11-08,,,
154,176,113,2025-05-13,,2025-11-29,
425,137,120,2024-10-30,,,
41,269,116,2025-05-10,,,
455,21,373,2024-05-06,2024-09-08,,10800000.0
347,31,2,2024-06-04,2024-06-15,,950400.0
607,344,311,2025-11-06,2025-11-25,,1641600.0
484,460,488,2025-07-15,,,
447,439,469,2024-12-25,,2025-06-20,
15,214,210,2025-10-04,2025-12-07,,5529600.0
43,498,24,2025-10-28,,,
511,214,371,2024-02-04,,,
262,10,140,2024-02-13,,,
112,82,298,2024-11-04,,,
269,495,297,2025-02-07,,,
615,488,27,2025-09-01,2025-11-18,,6739200.0
327,465,391,2024-02-23,,,
563,304,149,2024-12-31,,,
165,372,230,2024-08-10,,,
775,330,218,2025-09-23,,,
666,142,394,2024-10-14,,,
366,75,424,2024-05-28,,,
358,145,262,2024-04-11,,,
189,142,326,2025-12-09,,,
179,92,292,2025-04-21,,,
207,159,211,2025-12-13,,,
489,183,78,2024-05-05,,,
590,223,102,2025-10-10,,,
675,278,357,2024-07-17,,,
659,376,188,2025-07-09,,,
383,359,491,2024-09-13,2024-11-06,,4665600.0
37,204,8,2024-11-10,,2025-10-22,
127,96,159,2025-06-01,,,
523,174,196,2025-09-29,,,
61,48,7,2025-11-18,,,
316,392,130,2024-04-14,,,
461,241,262,2024-11-29,,,
502,258,54,2025-01-29,,2025-09-22,
88,154,249,2025-12-16,,2025-12-21,
531,110,34,2024-10-02,,,
486,374,479,2024-04-28,,,
197,284,404,2025-09-09,,,
462,203,137,2025-10-29,,,
318,438,476,2024-06-18,,2024-12-08,
547,249,451,2025-10-14,,,
263,82,118,2024-12-03,,2025-05-09,
374,251,145,2024-09-10,2025-01-04,,10022400.0
619,328,155,2025-12-08,2025-12-16,,691200.0
202,459,497,2025-12-20,,2025-12-22,
107,411,332,2025-04-04,,,
564,484,382,2024-10-22,,,
231,3,110,2024-11-08,,2024-11-12,
552,235,449,2025-02-27,,2025-10-30,
17,175,481,2025-05-05,2025-05-19,,1209600.0
9,106,354,2024-02-23,2024-05-17,,7257600.0
609,483,50,2024-09-26,,,
324,418,255,2024-04-15,,,
586,195,180,2025-01-30,2025-03-06,,3024000.0
505,381,75,2024-01-21,,,
398,243,107,2024-06-22,2024-11-25,,13478400.0
72,439,221,2024-09-05,,2025-07-02,
286,277,311,2024-09-22,,,
538,38,26,2025-05-03,,,
746,89,142,2025-08-12,2025-09-14,,2851200.0
423,36,52,2025-11-02,,,
695,401,114,2025-11-02,,,
387,107,464,2025-10-08,2025-11-14,,3196800.0
175,327,467,2024-10-05,,,
721,25,447,2024-10-12,2024-11-08,,2332800.0
498,300,349,2024-10-30,,,
381,172,171,2024-10-01,,,
35,366,278,2024-03-15,2024-07-10,,10108800.0
610,43,449,2025-11-09,,,
503,286,37,2024-10-29,2025-02-11,,9072000.0
594,471,462,2025-11-05,2025-11-19,,1209600.0
614,241,338,2025-07-28,2025-12-20,,12528000.0
761,111,40,2025-03-03,,,
583,154,160,2025-04-21,,,
739,10,430,2024-10-20,,,
677,27,232,2025-09-30,2025-11-11,,3628800.0
568,393,54,2025-11-03,2025-11-27,,2073600.0
485,47,402,2025-04-26,2025-06-13,,4147200.0
742,446,440,2024-11-03,,,
310,3,43,2024-08-11,,,
698,345,489,2024-10-16,,2025-09-25,
196,224,380,2025-04-27,,,
456,448,8,2024-03-04,,,
437,62,91,2025-06-06,2025-09-12,,8467200.0
733,384,315,2025-07-29,,,
441,488,499,2025-11-10,2025-11-27,,1468800.0
290,221,313,2024-10-13,,2025-10-04,
217,38,142,2025-11-12,,,
800,206,498,2024-12-05,,,
766,48,333,2025-08-26,,,
326,347,332,2024-04-26,2024-07-07,,6220800.0
307,106,39,2025-04-04,,,
229,154,87,2025-05-18,2025-10-19,,13305600.0
537,117,255,2025-12-19,,2025-12-20,
278,405,323,2024-07-29,2024-11-02,,8294400.0
669,179,386,2024-12-24,,,
173,173,16,2024-02-10,,,
494,427,381,2025-08-02,,,
713,367,38,2025-08-20,2025-09-24,,3024000.0
220,438,340,2025-01-18,2025-04-12,,7257600.0
114,63,226,2025-07-10,2025-09-26,,6739200.0
301,204,175,2025-05-12,,,
59,27,359,2024-10-02,,,
55,136,188,2025-09-29,,,
4,240,41,2025-11-23,,,
445,398,346,2025-09-30,2025-12-05,,5702400.0
684,184,321,2025-09-27,,,
8,34,51,2024-08-06,2024-08-18,,1036800.0
495,493,414,2025-05-16,2025-10-15,,13132800.0
241,95,476,2025-03-25,2025-05-21,,4924800.0
450,9,408,2025-01-11,2025-06-18,,13651200.0
717,115,181,2024-04-20,,2025-04-05,
757,137,271,2024-02-12,2024-03-04,,1814400.0
100,140,124,2025-06-13,2025-07-08,,2160000.0
449,493,231,2025-01-23,,,
161,28,420,2024-07-24,,2024-12-22,
555,65,145,2025-09-06,2025-10-27,,4406400.0
687,26,411,2024-09-30,,,
39,498,499,2024-12-21,,2025-10-30,
719,204,223,2024-01-04,,,
23,235,268,2024-06-08,,,
679,305,470,2025-10-16,,,
791,180,99,2025-12-21,,,
736,286,429,2025-05-16,,2025-09-30,
